,author.properties.friends,author.properties.status_count,author.properties.verified,content.body,location.country,properties.platform,properties.sentiment,location.latitude,location.longitude
22,1183,928.0,False,@Flyy7F yer wee brer's in PK,GB,twitter,-1.0,55.246772692267214,-4.8454345000000005
23,79,15023.0,False,Weather chart for past 24 hours (auto-tweet with values to 9am and 9pm each day). https://t.co/1Oc2o3wGeK,GB,twitter,0.0,53.354,-1.998
24,11,1029681.0,False,"23:56 BST: Temperature: 14.1°C, Wind: W, 1 mph (ave), 7 mph (gust), Humidity: 76%, Rain (hourly) 0.0 mm, Pressure: 1019 hPa, rising slowly",GB,twitter,0.0,51.676323,-3.542993
25,588,6918.0,False,@Barlow96 just lay in my coffin for a few hours whilst watching prison break,GB,twitter,1.0,54.59237810964623,-1.0204444999999998
26,184,3600.0,False,Just realised I've not eaten anything today...,GB,twitter,-1.0,51.807135116435056,-0.1923765
27,93,179.0,False,"https://t.co/kgXnekggKk
❤️this",GB,twitter,-1.0,54.07111124598568,-2.7751315
28,987,34618.0,False,@mattyfairnie fave album? Not a bold shout tbf. It's top five in Hunter Palace.,GB,twitter,0.0,55.943259273756,-3.2030085
29,1940,31544.0,False,#manufacturinguk Derby @GreenDavidD,GB,twitter,-1.0,52.22713108182664,0.511578
30,2224,106111.0,False,"@stardisco_ there are problems for sure, but THAT very specific issue isn't one of them. 

Also.. BITCH CHANGED HER HANDLE",GB,twitter,-1.0,52.76166847346558,-1.556472
31,297,5284.0,False,😂😂😂 https://t.co/phUJrsRoNc,GB,twitter,0.0,51.64530734401061,-0.0991635
32,263,10425.0,False,someone loudly sneezed at work today and ever since my right ear is in so much pain fuck this man,GB,twitter,-1.0,50.83958338001748,-0.1917229999999999
33,194,62324.0,False,Find out more about Dunkies in Seaford @ https://t.co/cz8NFs5nUu #tnc #areacode,GB,twitter,-1.0,50.7733897,0.1028418
34,540,5108.0,False,I love my London life https://t.co/HrXgrK5gma,GB,twitter,1.0,51.51448212166734,-0.0929105
35,599,44568.0,False,"@tobyperkinsmp that was a really good watch, great team, great players and as you say great manager. Sheringham looks like he hasn’t aged!",GB,twitter,1.0,53.18148435163203,-1.3867305
36,376,18360.0,False,Just cleared out 90% of my wardrobe because everything is now too big 😁😱 and I'm too poor to replace anything 😂😭😭,GB,twitter,-1.0,51.23643089192935,-0.5701174999999999
37,174,3540.0,False,Tell me where your freedom lies,GB,twitter,-1.0,55.853166006556194,-4.5111855
38,1019,80871.0,False,@shelley_ozzy @FCNantes Nantes supposed to be a lovely City School exchange to Loire Valley area & it is beautiful,GB,twitter,0.0,54.53511410350928,-2.392945
39,227,7356.0,False,@sabiha106 im dead😭 https://t.co/97TXarhSnp,GB,twitter,0.0,52.916607589459744,-2.298134
40,362,10921.0,False,"There's probably ten goals that get played over and over again. Gascoigne tellingly has two of them and rightly so, an absolute genius",GB,twitter,-1.0,51.73990077998931,0.4784789999999999
41,150,59.0,False,"#brandbeforebuilding presentation @
https://t.co/iDw2rQhFHj",GB,twitter,0.0,51.249274706820096,-0.0103159999999999
42,1103,6922.0,False,@rach4dan need something for us to cling onto though sweet it's not good this at all,GB,twitter,0.0,53.65511012384002,-2.1735065
43,392,1347.0,False,Millwall 2015/16 Goal of the Season | Ben Thompson https://t.co/CbyB3S1QFp via @YouTube // @AlExBarker124,GB,twitter,0.0,51.56060768459776,0.2105895
44,904,2041.0,False,@RichFenton #DebtBustingExpert I'd spend vouchers on decorating my 8 year old's room. Last done before she was born😚 https://t.co/DhNvmhgbOL,GB,twitter,0.0,52.924466066039024,-4.3855665
45,2084,44798.0,False,Not prepared to be dying on Sunday ugh 😫😖,GB,twitter,-1.0,54.94155570577247,-1.5685954999999998
46,2519,26476.0,False,@SalfordArmyAnt I need a hug 😭😭😭🙈,GB,twitter,-1.0,53.419914903420405,-2.915427
47,505,13861.0,False,Excellent 👏🏼 https://t.co/C3YYnjPZT5,GB,twitter,0.0,54.55942740993167,-1.2225015000000004
48,422,1083.0,False,New Music Alert  https://t.co/nDKbwFcD7d,GB,twitter,1.0,51.5112139,-0.1198244
49,1443,10648.0,False,OMG cannot cope 😂😂😂😂 https://t.co/Nbc4A8Y7nT,GB,twitter,-1.0,51.644318675742966,-3.945734999999999
50,543,2010.0,False,It's still Wednesday! My first (non-Courtier) Crypt Ghast. #WIPwednesday https://t.co/Jx8mBwunjg,GB,twitter,0.0,51.49704302186007,-3.1798
51,680,3691.0,False,@MargevonMarge Blimey. You still haven't served enough time here? #EUref #Remain,GB,twitter,-1.0,53.5532640595455,-0.6594239999999999
52,463,3629.0,False,"@caoimhe_renshaw Like u didn't suggest it cos ur "" not photogenic and need more time & I need u on my insta to show we are best mates""",GB,twitter,-1.0,53.58071287134156,-2.3047580000000005
53,10714,49846.0,False,Thought this was a pretty cool photo I got of Drew today 😂🤔💁🏻 https://t.co/MTNJfJgQoz,GB,twitter,-1.0,52.49405270288055,-1.8906405
54,190,72640.0,False,"@YasmeenSaleem15 
@kagha76 https://t.co/yNP4ILXJfD",GB,twitter,0.0,51.58500991494593,0.0788629999999999
55,1321,86271.0,False,@cammiescott have you ever been to Scotland? I reckon you should give Nessie a visit! (I live near her) #AskCammie,GB,twitter,-1.0,57.78663118391636,-4.200440999999999
56,368,27766.0,False,"As much as I love her, Meredith Grey is such a moaning myrtle sometimes",GB,twitter,-1.0,54.72877650726704,-1.37532
57,2434,38097.0,False,@Gallt99 @mckinlay_liz @labourareliars @JRTomlinAuthor 100% agree,GB,twitter,-1.0,55.85839558130999,-4.2417515
58,243,9441.0,False,@dragon4758 er...than what?,GB,twitter,1.0,52.41214485808566,-4.001617
59,97,1233.0,False,@leahgibsonxo love this!!! xoxox,GB,twitter,1.0,53.54627311144873,-2.7743115
60,275,23876.0,False,@Malagenabolaka Pauline I'm legit tearing up. 😢,GB,twitter,-1.0,57.78663118391636,-4.200440999999999
61,124,257.0,False,"Eric's Wife and daughter dies with one arrow, Double kill 😂",GB,twitter,1.0,55.85839558130999,-4.2417515
62,551,31239.0,False,@WestHam_Central  Drinkwater is a much better player than a fit Henderson or Barkley and could have provided so much for Vardy  Thanks Roy!!,GB,twitter,1.0,50.40223082859258,-4.142929999999999
63,1015,73896.0,False,@naysupreme_ firm it,GB,twitter,-1.0,51.64530734401061,-0.0991635
64,349,34973.0,False,.@cumkinggg I don't think it beats this beauty that I accidentally took https://t.co/Zb5fQiKBbf,GB,twitter,0.0,53.38322877572023,-1.4496120000000003
65,1193,28379.0,False,@CFC_Murphyyy who's in this call,GB,twitter,-1.0,51.54947858240573,0.7212505000000001
66,505,3217.0,False,@BodaciousChase @Baphometta_ curiosity has peaked!!,GB,twitter,1.0,54.64768107500438,-5.667601
67,107,1990.0,False,"@_Stewart_Bain @BloodyScotland @Lin_Anderson @doug_johnstone  Huge Celebs at BS, Linwood Barclay last year Stewart Bain this year!!",GB,twitter,1.0,57.78663118391636,-4.200440999999999
68,1021,38177.0,False,"le voy a decir a la gente que extraño, que la extraño.",GB,twitter,1.0,51.50009845259365,-0.148936
69,320,20506.0,False,I can't believe the lady from Come Outside is on eastenders,GB,twitter,-1.0,51.87159996014631,-0.9207325
70,648,1066.0,False,"All I'm saying is, Twitter arguments mean nothing, they're forgot about the next day, and no one says shit in person. So can we ALL drop it?",GB,twitter,-1.0,51.618787229839945,0.4827625
71,886,1630.0,False,@francesmcc_xo that's actually so funny😂,GB,twitter,-1.0,54.23525523438256,-6.161753000000001
72,191,118.0,False,"you can miss something, but not want it back...",GB,twitter,-1.0,53.61268198775026,-0.960897
73,166,8897.0,False,@wordspinster @JudSawyer depressing things arrivas....,GB,twitter,-1.0,52.23888471672323,-0.8829510000000002
74,1125,19210.0,False,That video pissed me off 😤😤,GB,twitter,-1.0,51.59585202771581,-0.3370625
75,934,58313.0,False,for @Channel4News & @jonsnowC4  never more apt - @David_Cameron your days are over https://t.co/LxN3tydBIw,GB,twitter,0.0,51.39781057661456,-0.252754
76,766,18100.0,False,Lol I'm in a well good mood,GB,twitter,1.0,52.4319652771424,-1.1083805
77,223,2325.0,False,Not looking forward to an early start tomorrow,GB,twitter,1.0,51.23073568064819,-2.3158515
78,279,12649.0,False,I won £20 on PengWin Pursuit https://t.co/cIr5jpzMRC #BetterChances #GameStore… https://t.co/zSpcfiS7S2,GB,twitter,0.0,54.13016014,-0.79494567
79,534,963.0,False,So am I! #veggielawyersrock https://t.co/gsQm4yTA98,GB,twitter,-1.0,51.58500991494593,0.0788629999999999
80,1073,4362.0,False,#NightTime is #OurTime #TheDepartureLounge https://t.co/Uihhw93kAp #Thrilling #Music for #NightOwls @VQRESTAURANTS https://t.co/yfJIFvs9xV,GB,twitter,0.0,51.451674884083495,-0.1937195
81,1057,60736.0,False,@Dan_Turner_93 Didn't Ricardo once play for Leicester in the Championship?,GB,twitter,-1.0,52.55388908204646,-1.146641
82,940,4704.0,False,Don't call me Shirley #fitness #gym #tringmartialarts #tring #berkhamsted #astonclinton @ Tring… https://t.co/jv1LbSVoOB,GB,twitter,0.0,51.79251,-0.66238
83,564,33630.0,False,The blob @ Mr  Blobbys https://t.co/jSHaBVSkWN,GB,twitter,0.0,53.09992981,-1.11058807
84,859,36929.0,False,@JR_athletics @phil_walker spot on.,GB,twitter,-1.0,50.4475730815792,-3.5456950000000003
85,262,49611.0,False,😴 but 🔥,GB,twitter,-1.0,53.456983702037085,-2.233480000000001
86,328,2429.0,False,i am done 😂😂😂 https://t.co/OFr9KfibCF,GB,twitter,0.0,53.72853598842583,-2.4837505
87,702,8958.0,False,Massive happy birthday to @Il0vevic have a good one!! 🎉💙,GB,twitter,1.0,51.67150341071704,-0.5871185
88,2164,105226.0,False,Night night ma lifesavers @itsDannyJones @TomFletcher @mcflyharry @DougiePoynter @mcflymusic 💗💗💗💗❤❤❤❤ love ye's so much xxxxxxxxxxxxxxxxxxxx,GB,twitter,1.0,55.943259273756,-3.2030085
89,511,3763.0,False,The first time I've heard the term murder-suicide today. Why not just call them heartless chickens who are scared to face the consequences.,GB,twitter,-1.0,53.38322877572023,-1.4496120000000003
90,447,15272.0,False,😂😂😂 https://t.co/B2k6sXKo8q,GB,twitter,0.0,53.12977465530245,-1.272442
91,269,19067.0,False,@Edwin_AFC didn't someone get shot there the other day,GB,twitter,-1.0,52.0571262016396,1.1616629999999997
92,2452,12408.0,False,Photography is so beautiful 😍,GB,twitter,1.0,51.54765285291366,-0.0601675
93,606,5211.0,False,@Lewis27Russell nah ur alright,GB,twitter,-1.0,55.86527381074809,-3.5084120000000008
94,2122,6610.0,False,Lorna Laidlaw #Mentor #Birmingham @PerryBeechesII @RudolphWalkerDA #RWiSDA2016 #GrandFinal @stratfordeast Sun 3 July https://t.co/t4mmJpci8A,GB,twitter,0.0,51.61191284168327,-0.2108945
95,289,8049.0,False,Taylor Swift and Calvin Harris have broken up... #DoIHearANewAlbun,GB,twitter,1.0,51.51483911149297,-0.0350195
96,626,4028.0,False,@khloekardashian abs on snapchat though😍😍,GB,twitter,0.0,51.61904654153738,-3.456404
97,71,48.0,False,Imagine been able to tweet about something fun. Nope not me have no idea! I'm so boring 😂😂,GB,twitter,-1.0,54.55942740993167,-1.2225015000000004
98,562,36781.0,False,*you,GB,twitter,-1.0,51.54765285291366,-0.0601675
99,253,14974.0,False,Tough times like this. 😞😢,GB,twitter,-1.0,55.00619740232842,-7.312944999999999
100,401,1996.0,False,@tisnees any idea what time you're flying out tomorrow morning?,GB,twitter,1.0,52.62211889266382,-1.683398
101,365,4660.0,False,"@hanna_georgia stupidly long babe. Space is really small, tends to run out of stock really quick, gets messy and 1 in 1 out!. Not worth it X",GB,twitter,-1.0,51.46034516709653,-0.1154059999999999
102,1125,19211.0,False,How's he slapping her like that that's mad you ain't no man if your doing that crap,GB,twitter,-1.0,51.59585202771581,-0.3370625
103,987,34622.0,False,"@mattyfairnie some choices in there I'd not pick! But for changeable, I've not got sceamadelica in there so yeah, I'd change. 😂",GB,twitter,-1.0,55.943259273756,-3.2030085
104,69,614.0,False,"Every relationship has its problems, but what makes it perfect is if you still want to be together when things go wrong.",GB,twitter,0.0,51.50009845259365,-0.148936
105,1554,89337.0,False,@Odhraaan really,GB,twitter,-1.0,54.59591680133457,-5.928412999999999
106,140,6572.0,False,@funandsexytimes would love you to DM the video but I'm down to my last nipple tassel and using axle grease as a lubricant (SKINT)😉😉❌❌😜😜,GB,twitter,-1.0,53.41462347939496,-2.1556405
107,752,41816.0,False,Cheers Paul👊🏿 https://t.co/XqdRdyMjxu,GB,twitter,0.0,51.46034516709653,-0.1154059999999999
108,98,1634.0,False,My poorly boy 😍 https://t.co/CMrMhg1F4D,GB,twitter,-1.0,51.3296460722635,-2.8691530000000003
109,4117,60981.0,False,@NoirMJ  Its annoying that this is a serious decision & both sides of Tory are treating it like a pantomime. with cries of Oh No it isn't.,GB,twitter,-1.0,53.38322877572023,-1.4496120000000003
110,2288,16117.0,False,CGTTNKOTWEHNO https://t.co/1X9KmwvI7Q,GB,twitter,0.0,56.64118209699307,-2.8904995
111,108,23357.0,False,Cadê aquela parte que tu disse que ambos tinham que dar atenção?,GB,twitter,0.0,52.03360633916026,-0.7640635
112,697,47242.0,False,Good that it has ended with a laugh and perhaps a smile😄 https://t.co/P4djpxQJih,GB,twitter,0.0,51.27676464045431,1.0901355
113,2951,19939.0,False,#SongsGoingNowhere  Don't leave me this way.,GB,twitter,-1.0,55.85839558130999,-4.2417515
114,319,48.0,False,"Happy birthday Erin, Jean would be proud x https://t.co/sxQCXMqJEj",GB,twitter,0.0,57.78663118391636,-4.200440999999999
115,686,19834.0,False,@I_Skream happy birthday u legend,GB,twitter,1.0,53.38322877572023,-1.4496120000000003
116,521,8191.0,False,"@Ciocia I am generalising, not drawing a line.

Someone from Jordan and Iran will act differently to someone from Germany or Scotland.",GB,twitter,0.0,57.1605717487859,-2.1270405
117,1954,9569.0,False,@benshapiro IMPORTANT! The West is anti-white & pro-immigration probably because our fertility rate is 30% too low so we're dying out :(,GB,twitter,-1.0,51.13241515126608,1.302505
118,151,4545.0,False,@zenoagency @TitanBooks @ForbiddenPlanet @awfulagent I have already bought them all  can I bring them to be signed?,GB,twitter,-1.0,51.61191284168327,-0.2108945
119,1016,73921.0,False,"@lizzytbh are u tryna get me blacklisted or? I have no bae, not even a potential. 😌 barely have friends x",GB,twitter,-1.0,51.64530734401061,-0.0991635
120,52,881.0,False,@TedWall4 Sanders? https://t.co/Bl9Em2WCUN,GB,twitter,0.0,53.32361549801847,-2.2338195000000005
121,1348,90838.0,False,@PingPongGeant Nice one! I watched Felix play against a couple of much older opponents at Challenger level last year. Amazing talent.,GB,twitter,0.0,51.58567402626544,-3.0258350000000007
122,129,259.0,False,@MosawerEhrari do tell me more..,GB,twitter,-1.0,52.5801490926246,-2.147965
123,7,473.0,False,I jjsut coildnt contr ol. Myself,GB,twitter,-1.0,54.9636183551984,-1.7626134999999998
124,471,22481.0,False,@clubthanz1 this https://t.co/nEiBWhj3ih,GB,twitter,-1.0,53.47534904324797,-2.3495664999999994
125,2046,1805.0,False,@SheaCompanions Thanks for such an insightful post! Am sharing with my extended family members :),GB,twitter,1.0,52.969744440802685,-1.1722659999999996
126,238,69927.0,False,@liamjonesy_ dont u have like work? I have fuck all to do for four month catch you later x,GB,twitter,-1.0,54.89924650764616,-1.385366
127,1079,16124.0,False,"@BradsBlackTaxi Never broom,absolute trade killer..,",GB,twitter,0.0,51.58500991494593,0.0788629999999999
128,144,11767.0,False,"cba once again, standard shit bro",GB,twitter,-1.0,54.07111124598568,-2.7751315
129,75,98.0,False,@harry266111 they'll probs catch me I can't run as fast as the ginger bread man,GB,twitter,-1.0,52.297656565581015,-1.930983
130,195,2638.0,False,@SoccerSix #SoccerSixNashGrier 🙋🏼🙋🏼🙋🏼🙏🏼🙏🏼🙏🏼⚽️⚽️⚽️⚽️⚽️⚽️⚽️❤️❤️,GB,twitter,0.0,51.394368557245095,0.0262989999999999
131,1199,3346.0,False,I basically suck at video games.,GB,twitter,-1.0,51.45255330711058,-0.9820305
132,386,5219.0,False,@Ellehardman95 this Saturday?,GB,twitter,1.0,51.316552116349946,-0.5488354999999999
133,520,117546.0,False,"@wilesy999 I wish. No, that's our @frances_grey ... might be worth you looking it up. Vanity Fair 1998 BBC.",GB,twitter,-1.0,51.58500991494593,0.0788629999999999
134,756,4183.0,False,@Riaaa_C 😂😂,GB,twitter,0.0,51.46469310439313,-0.0706035
135,1087,14311.0,False,@soph__findlay @charlieruthhx HAHAHAHAHhhh have u just said that I'm screaming,GB,twitter,-1.0,52.626293532909706,-1.13067
136,719,26187.0,False,"@Shanegreen_ yesss absolutely, I want Iyaz and Taoi Cruz me",GB,twitter,1.0,53.09212588142911,-2.4568145
137,2399,25011.0,True,#BonnieScotland ☀️☀️☀️ https://t.co/A6sd1bO1wt,GB,twitter,0.0,53.32361549801847,-2.2338195000000005
138,391,26448.0,False,"I really shouldn't be going to sleep in my fleecy pjs in June, JUNE ❄️",GB,twitter,1.0,53.802038177843606,-1.5654900000000005
139,2153,13763.0,False,@A_Jax Thanks for the follow. Always great to connect find out more https://t.co/5MTzsZqvvN https://t.co/EnQkuEV9Br #BritainHasSpirit,GB,twitter,1.0,53.60940388839056,-2.153001
140,69,1091.0,False,@_Bennehh My day = made,GB,twitter,1.0,55.943259273756,-3.2030085
141,680,3700.0,False,@IHATEAKASH @AdventureTimes8 That's true; the latter affected me more. :<(,GB,twitter,-1.0,53.5532640595455,-0.6594239999999999
142,226,5076.0,False,Why did I nap today,GB,twitter,-1.0,50.80884444054213,-1.1491980000000002
143,844,19317.0,False,Put your hands on me your actually in trouble 😐,GB,twitter,-1.0,51.48651958815168,0.317777
144,931,307.0,False,Hedge removal part one...!! @ Dalkeith https://t.co/slEBFhE0w9,GB,twitter,-1.0,55.8667,-3.06667
145,2093,10670.0,False,@MrMStuchbery @Ephemeral321 @Positivteacha Didn't think of it as behaviour management; I just do it because they're interesting to talk to!,GB,twitter,-1.0,52.22713108182664,0.511578
146,195,2639.0,False,@SoccerSix #SoccerSixNashGrier I'm beggin u 🙏🏼🙏🏼🙏🏼🙏🏼⚽️❤️🙋🏼⚽️❤️🙋🏼,GB,twitter,-1.0,51.394368557245095,0.0262989999999999
147,104,7640.0,False,AND HE'S IN! @ Lunan Bay Beach https://t.co/XN6KZfjFDa,GB,twitter,0.0,56.65477203,-2.50492637
148,380,4721.0,False,Got to be up in like five hours for holiday and I'm wide awake,GB,twitter,1.0,53.802038177843606,-1.5654900000000005
149,872,13065.0,False,@neilbyrne_CT Perrrrfect! Enjoy it for me! :-),GB,twitter,1.0,50.785535,-1.077425
150,333,51690.0,False,wonder how many of the hundreds who sleep rough in the city centre feel the same? https://t.co/AHjdHcRq9M,GB,twitter,-1.0,53.456983702037085,-2.233480000000001
151,166,8899.0,False,jane leaves ian but is shocked to find waterloo road has closed..where will she go .no sunhill....ohh well its holby #EastEnders #HolbyCity,GB,twitter,-1.0,52.23888471672323,-0.8829510000000002
152,336,34774.0,False,*Shoe string 😂👍🏻 https://t.co/UYAIvdR4IX,GB,twitter,-1.0,53.7554215099273,-1.659842
153,2788,47110.0,False,@StuartLock @PXEducation I can remember everyone had same points and GD after 2 games?,GB,twitter,1.0,52.49405270288055,-1.8906405
154,2324,23883.0,False,"-France
-Griezman
-Quarters
-Switzerland
 https://t.co/i45HdDrQCN",GB,twitter,0.0,51.199212563346414,-4.118541999999999
155,2382,66234.0,False,Putlocker blocked now. And couch tuner,GB,twitter,1.0,52.969744440802685,-1.1722659999999996
156,460,4309.0,False,"Just now writing those I opened up a can of coke and got thinking ""wait is it really worth the bloat & extra calories?"" Yes. Just 1 tho🤐",GB,twitter,-1.0,51.35895133231162,-0.092633
157,1954,9561.0,False,@infowars IMPORTANT! The West is anti-white & pro-immigration probably because our fertility rate is 30% too low so we're dying out :(,GB,twitter,-1.0,51.13241515126608,1.302505
158,428,23943.0,False,rupaul can Suck my ass,GB,twitter,0.0,53.38263616563445,-2.5933005
159,241,143.0,False,Me- why would you waste money on stupid things                                              Me- *owns a swarovski pen because its pretty*,GB,twitter,-1.0,51.807135116435056,-0.1923765
160,2256,104416.0,False,@Josh_BAFC 7th apparently,GB,twitter,-1.0,52.583285350952416,-0.265658
161,410,44427.0,False,@mogibarra Seems Harris is one of the few areas left where that is a possibility,GB,twitter,-1.0,56.966307688482274,-2.219349
162,503,12366.0,False,@Mais_xoxo I h8 you hahahahaha,GB,twitter,0.0,53.419914903420405,-2.915427
163,2488,33676.0,False,@bethany_jadeee WHERE DID THAT SASSY TWEET THAT JUST MADE MY DAY DISAPPEAR TOO💔,GB,twitter,1.0,53.589899524748894,-0.6419345000000002
164,435,11516.0,False,"It's too much, it's just too much.  Fuck it. Fuck it all. 😭😭😭😭😭😭😭😭😭😭😭
https://t.co/dZYB0Mo3K0",GB,twitter,-1.0,51.73931775419655,-0.24971
165,476,4346.0,False,@JessMelissa_,GB,twitter,0.0,51.14193531741283,0.8731215000000001
166,19,717.0,False,This side knows what's up tbh https://t.co/MXx1milwGs,GB,twitter,-1.0,53.79985711313213,-3.0221290000000005
167,190,22182.0,False,goodbye  https://t.co/WSguzy8F56,GB,twitter,-1.0,51.58792119344532,-0.102162
168,195,2637.0,False,@SoccerSix #SoccerSixNashGrier 🙏🏼🙏🏼🙏🏼🙏🏼❤️❤️🙋🏼🙋🏼🙋🏼🙋🏼🙋🏼,GB,twitter,0.0,51.394368557245095,0.0262989999999999
169,159,39191.0,False,it's midnight why have seven ppl decided to text me,GB,twitter,-1.0,51.97915839291141,-0.2255424999999999
170,250,37252.0,False,@PrinceTozaki the uk haha,GB,twitter,-1.0,52.916607589459744,-2.298134
171,363,1744.0,False,@daniel_nevin0 @dion_pritchard sure you can afford some more 🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔,GB,twitter,-1.0,53.58421048880526,-2.434952499999999
172,67,1302.0,False,"@RussScanlon @doughnut68 yep, of course, I owe him a tenner already!!#fortherecord",GB,twitter,1.0,51.5248433429905,-0.173115
173,735,1781.0,False,wowowowow😞,GB,twitter,0.0,50.91464801183099,-1.299116
174,10186,285564.0,False,@sushi_murakami A warm thank you 4 following me. I very much appreciate ur valuable Twitter time. Good 2 connect. https://t.co/FcglSgS7sr,GB,twitter,1.0,54.234175921979336,-1.3487329999999995
175,166,394.0,False,Fleeing Saddam with the Kurds - https://t.co/HEdQ8bXMLv,GB,twitter,0.0,54.89924650764616,-1.385366
176,4254,130005.0,False,@coombemill @Prezzybox they look so cute flower.have u had a nice weekend we went away in caravan for 4 days was so lovely and quiet,GB,twitter,1.0,55.13511300814875,-1.7396195
177,69,1090.0,False,When you're favourite YouTuber followes you!! @_Bennehh https://t.co/DaQfNCrfex,GB,twitter,0.0,55.943259273756,-3.2030085
178,954,126273.0,False,The Cage is such a great tournament structure. Especially the calibre of opponents that enter every week..,GB,twitter,0.0,51.451674884083495,-0.1937195
179,1448,10758.0,False,@camillaSCCO ok... It's not me 👀,GB,twitter,-1.0,53.419914903420405,-2.915427
180,1016,8821.0,False,@HayesGrier growing up too fast mate😩,GB,twitter,-1.0,51.51476447266411,-0.29743
181,1584,24967.0,False,"Baseball and softball, karate, sport climbing, skateboarding, surfing - all a step away from becoming Olympic sports https://t.co/hPalpw4ZQI",GB,twitter,0.0,51.49839328713241,-0.216108
182,1919,139327.0,False,"I am so hawt right now.

no, wait. I mean warm. I am so warm right now.",GB,twitter,1.0,55.83474384248336,-4.424785000000001
183,622,13014.0,False,Hello X https://t.co/sJpgK5c2yl,GB,twitter,0.0,53.60940388839056,-2.153001
184,520,117547.0,False,"@girl_vintage Uhm... pass? I kinda skipped her a bit to get to Tricia last night, couldn't sleep and CC helps me sleep.",GB,twitter,-1.0,51.58500991494593,0.0788629999999999
185,1008,79873.0,False,@TheEllenShow she's so damn cute,GB,twitter,-1.0,51.49704302186007,-3.1798
186,432,926.0,False,https://t.co/wI1kh902zI,GB,twitter,0.0,55.16855422285807,-1.6921415000000002
187,447,5059.0,False,Felt like bit of a coaching guru today - good to know my UEFA A comes in handy sometimes,GB,twitter,0.0,52.03360633916026,-0.7640635
188,911,9385.0,False,Eeeeeep. A bit gruesome and graphic. Interesting artwork nonetheless. Make up your own mind.… https://t.co/rQKOCRgAmI,GB,twitter,-1.0,51.4846403,0.1035098
